name,time,payload,value
CurrentTemp,1668486971788405367,,32.94
CurrentTemp,1668487225480416919,,32.94
CurrentTemp,1668487240395548382,,32.94
CurrentTemp,1668487254968582891,,32.94
CurrentTemp,1668487270696364674,,32.94
CurrentTemp,1668487285036634490,,32.94
CurrentTemp,1668487300410101656,,32.94
CurrentTemp,1668487321592826055,,32.94
CurrentTemp,1668487340937799845,,32.94
CurrentTemp,1668487382300099742,,32.94
CurrentTemp,1668487415723775309,,32.94
CurrentTemp,1668487471119258502,,32.94
CurrentTemp,1668489271155816632,,32.79
CurrentTemp,1668491071140105399,,32.72
CurrentTemp,1668492871025575294,,32.72
CurrentTemp,1668494671076139514,,32.65
CurrentTemp,1668496471017475176,,32.65
CurrentTemp,1668498270940307829,,32.68
CurrentTemp,1668500071104152017,,32.65
CurrentTemp,1668501870987895449,,32.72
CurrentTemp,1668503671010787474,,32.85
CurrentTemp,1668505471097767859,,32.68
CurrentTemp,1668507270948726965,,32.77
CurrentTemp,1668509071066602621,,32.86
CurrentTemp,1668510871032691976,,32.76
CurrentTemp,1668512671163240046,,32.74
CurrentTemp,1668514471102529495,,32.83
CurrentTemp,1668516271424340817,,32.86
CurrentTemp,1668518071349717947,,32.83
CurrentTemp,1668519871017319148,,32.88
CurrentTemp,1668521671140325687,,33.04
CurrentTemp,1668523471078113169,,33.31
CurrentTemp,1668525271153397173,,33.31
CurrentTemp,1668527071492908734,,33.67
CurrentTemp,1668528871414810804,,33.04
CurrentTemp,1668530671705130871,,33.28
CurrentTemp,1668532472457755954,,33.66
CurrentTemp,1668534271350481609,,33.91
CurrentTemp,1668536071257877784,,34.59
CurrentTemp,1668537871747184269,,34.93
CurrentTemp,1668539671290791311,,35.29
CurrentTemp,1668541471481832355,,36.25
CurrentTemp,1668543271380391205,,37.15
CurrentTemp,1668545071174958013,,37.53
CurrentTemp,1668546871196937365,,37.04
CurrentTemp,1668548671213881755,,36.91
CurrentTemp,1668550471214464226,,36.84
CurrentTemp,1668550492464371114,,36.84
CurrentTemp,1668552292358011481,,36.46
CurrentTemp,1668554092294572163,,35.89
CurrentTemp,1668555892326829328,,35.17
CurrentTemp,1668556974305883353,,34.77
CurrentTemp,1668557000768215822,,34.77
CurrentTemp,1668557020850397680,,34.77
CurrentTemp,1668558821457481359,,34.2
CurrentTemp,1668560621324181666,,33.8
CurrentTemp,1668562421231739625,,32.99
CurrentTemp,1668564221427777196,,32.16
CurrentTemp,1668566021470214375,,31.15
CurrentTemp,1668567821961894380,,29.97
CurrentTemp,1668569621831842217,,29.3
CurrentTemp,1668569741872644431,,28.85
CurrentTemp,1668569771683963474,,28.85
